title_and_volume,sold_copies
Jujutsu Kaisen #18,2110599
One Piece #101,2007590
One Piece #103,1976427
One Piece #102,1946333
Jujutsu Kaisen #19,1839622
Spy x Family #9,1798542
One Piece #104,1609752
Jujutsu Kaisen #20,1563314
Spy x Family #10,1367092
Spy x Family #8,1230355
Tokyo Revengers #25,1204451
Tokyo Revengers #26,1102081
Tokyo Revengers #27,1024112
Tokyo Revengers #28,932644
Spy x Family #7,921429
Spy x Family #4,918547
Spy x Family #5,910915
Spy x Family #6,904190
My Hero Academia #33,868511
Kaiju No. 8 #5,834159
Tokyo Revengers #29,824042
Spy x Family #1,803288
My Hero Academia #33,789640
Spy x Family #2,775092
Spy x Family #3,760424
Kaiju No. 8 #6,731886
Kingdom #64,722889
Jujutsu Kaisen #17,721792
Hunter×Hunter #37,721080
My Hero Academia #35,717645
Kingdom #65,694726
My Hero Academia #36,655917
Kingdom #66,601263
Kaiju No. 8 #7,592524
Do Not Say Mystery #10,571735
That Time I Got Reincarnated as a Slime #19,554414
Chainsaw Man #12,543908
That Time I Got Reincarnated as a Slime #20,542353
Jujutsu Kaisen #0,524296
World Trigger #24,520321
That Time I Got Reincarnated as a Slime #21,515380
Do Not Say Mystery #11,497362
Takopi's Original Sin #1,495940
Detective Connan #101,495306
Takopi's Original Sin #2,453737
One-Punch Man #24,449186
Jujutsu Kaisen #16,447010
The Apothecary Diaries #9,444134
World Trigger #25,435723
Kingdom #63,407453
